country,crime,saftey,vertical,horizontal
Venezuela,84.36,15.64,6.42375,-66.58973
Papua New Guinea,80.04,19.96,-9.4375156,147.1202186
South Africa,77.29,22.71,-33.9142688,18.095598
Afghanistan,76.97,23.03,33.93911,67.709953
Honduras,76.65,23.35,15.199999,-86.241905
Trinidad And Tobago,72.43,27.57,10.691803,-61.222503
Brazil,68.31,31.69,-14.235004,-51.92528
Guyana,68.15,31.85,6.0086475,-58.3208372
El Salvador,67.84,32.16,13.794185,-88.89653
Syria,67.42,32.58,34.802075,38.996815
Jamaica,67.2,32.8,18.109581,-77.297508
Namibia,66.12,33.88,-22.95764,18.49041
Angola,65.74,34.26,-11.202692,17.873887
Peru,65.65,34.35,-9.189967,-75.015152
Puerto Rico,64.75,35.25,18.220833,-66.590149
Bangladesh,63.82,36.18,23.684994,90.356331
Nigeria,63.27,36.73,9.081999,8.675277
Bahamas,62.74,37.26,25.03428,-77.39628
Libya,62.27,37.73,26.3351,17.228331
Argentina,62.26,37.74,-38.416097,-63.616672
Kenya,61.73,38.27,-0.023559,37.906193
Dominican Republic,61.04,38.96,18.735693,-70.162651
Fiji,59.57,40.43,-16.578193,179.414413
Zimbabwe,58.86,41.14,-19.015438,29.154857
Guatemala,58.59,41.41,15.783471,-90.230759
Malaysia,58.55,41.45,4.210484,101.975766
Tanzania,57.8,42.2,-6.369028,34.888822
Mongolia,57.47,42.53,46.862496,103.846656
Uganda,56.14,43.86,1.373333,32.290275
Bolivia,56.13,43.87,-16.290154,-63.588653
Somalia,56.04,43.96,5.152149,46.199616
Costa Rica,55.59,44.41,9.748917,-83.753428
Colombia,54.94,45.06,4.570868,-74.297333
Kazakhstan,54.81,45.19,48.019573,66.923684
Maldives,54.61,45.39,3.202778,73.22068
Botswana,53.47,46.53,-22.328474,24.684866
Mexico,53.31,46.69,23.634501,-102.552784
Uruguay,53.02,46.98,-32.522779,-55.765835
Ecuador,52.66,47.34,-1.831239,-78.183406
Cambodia,52.18,47.82,12.565679,104.990963
Algeria,50.41,49.59,28.033886,1.659626
Paraguay,49.6,50.4,-23.442503,-58.443832
Chile,49.6,50.4,-35.675147,-71.542969
Ethiopia,49.23,50.77,9.145,40.489673
Morocco,48.97,51.03,31.791702,-7.09262
Iran,48.91,51.09,32.427908,53.688046
Ukraine,48.84,51.16,48.379433,31.16558
Ghana,48.64,51.36,7.946527,-1.023194
Iraq,48,52,33.223191,43.679291
United States,47.7,52.3,37.09024,-95.712891
Sweden,47.43,52.57,60.128161,18.643501
France,47.37,52.63,46.227638,2.213749
Myanmar,46.93,53.07,21.913965,95.956223
Egypt,46.65,53.35,26.820553,30.802498
Vietnam,46.52,53.48,14.058324,108.277199
Mauritius,46.41,53.59,-20.348404,57.552152
Panama,46.2,53.8,8.537981,-80.782127
Indonesia,46.06,53.94,-0.789275,113.921327
Moldova,46.03,53.97,47.411631,28.369885
Ireland,45.68,54.32,53.41291,-8.24389
Nicaragua,45.54,54.46,12.865416,-85.207229
Belgium,45.29,54.71,50.503887,4.469936
Palestine,45.21,54.79,31.952162,35.233154
United Kingdom,44.54,55.46,55.378051,-3.435973
India,44.42,55.58,20.593684,78.96288
Italy,44.24,55.76,41.87194,12.56738
Pakistan,44.18,55.82,30.375321,69.345116
Lebanon,44.07,55.93,33.854721,35.862285
Bosnia And Herzegovina,43.57,56.43,43.915886,17.679076
Zambia,43.22,56.78,-13.133897,27.849332
Philippines,42.22,57.78,12.879721,121.774017
New Zealand,42.19,57.81,-40.900557,174.885971
Tunisia,41.68,58.32,33.886917,9.537499
Australia,41.67,58.33,-25.274398,133.775136
Montenegro,41.56,58.44,42.708678,19.37439
Greece,41.3,58.7,39.074208,21.824312
Jordan,40.83,59.17,30.585164,36.238414
Canada,40.64,59.36,56.130366,-106.346771
Russia,40.6,59.4,61.52401,105.318756
Sri Lanka,40.23,59.77,7.873054,80.771797
Thailand,40.01,59.99,15.870032,100.992541
Albania,39.86,60.14,41.153332,20.168331
Turkey,39.5,60.5,38.963745,35.243322
Malta,39.37,60.63,35.937496,14.375416
North Macedonia,38.61,61.39,41.608635,21.745275
Bulgaria,38.55,61.45,42.733883,25.48583
Serbia,37.73,62.27,44.016521,21.005859
Latvia,37.43,62.57,56.879635,24.603189
Nepal,35.61,64.39,28.394857,84.124008
Hungary,35.23,64.77,47.162494,19.503304
Germany,35.14,64.86,51.165691,10.451526
Norway,34.62,65.38,60.472024,8.468946
Kuwait,34.57,65.43,29.31166,47.481766
Lithuania,33.88,66.12,55.169438,23.881275
